"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Estimated annual rate per 10,000","Age-adjusted rate per 10,000"
"2019","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","150","6.6","6.3"
"2019","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","262","9.9","9.4"
"2019","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","138","7.6","7.0"
"2019","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","65","6.4","6.2"
"2019","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","63","11.5","11.4"
"2019","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","100","9.7","9.6"
"2019","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","41","5.3","5.0"
"2019","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","67","4.2","3.9"
"2018","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","79","10.5","10.2"
"2018","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","295","18.4","17.2"
"2018","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","507","25.7","27.8"
"2018","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","487","20.9","21.0"
"2018","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","469","30.5","31.4"
"2018","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","510","32.2","32.5"
"2018","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","425","41.7","42.4"
"2018","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","54","5.0","6.3"
"2018","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","124","5.9","6.9"
"2018","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","306","12.0","12.6"
"2018","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","164","11.9","12.1"
"2018","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","52","5.5","6.3"
"2018","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","69","3.0","2.9"
"2018","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","206","8.8","8.8"
"2018","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","134","8.3","7.9"
"2018","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","54","3.3","3.2"
"2018","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","160","6.9","6.1"
"2018","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","217","13.1","15.6"
"2018","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","190","8.6","8.7"
"2018","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","274","18.8","19.4"
"2018","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","156","17.1","16.8"
"2018","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","81","4.4","4.0"
"2018","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","39","2.1","1.8"
"2018","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","41","2.8","3.1"
"2018","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","28","2.3","2.9"
"2018","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","6*","0.8*","0.8*"
"2018","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","98","6.0","5.8"
"2018","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","20","3.9","5.1"
"2018","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","74","4.2","4.8"
"2018","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","224","6.2","6.2"
"2018","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","104","5.0","4.6"
"2018","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","23","3.2","3.1"
"2018","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","97","4.7","4.5"
"2018","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","52","6.6","6.6"
"2018","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","149","6.8","6.6"
"2018","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","216","8.7","7.9"
"2018","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","127","7.4","6.8"
"2018","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","78","8.3","7.8"
"2018","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","59","11.7","11.6"
"2018","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","112","11.5","12.2"
"2018","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","55","7.5","7.2"
"2018","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","72","4.7","4.8"
"2016","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","87","11.7","10.8"
"2016","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","298","18.6","18.0"
"2016","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","516","26.7","27.8"
"2016","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","538","22.6","22.2"
"2016","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","480","30.4","32.2"
"2016","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","633","39.4","40.0"
"2016","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","513","48.9","50.8"
"2016","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","37","3.3","4.6"
"2016","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","149","7.0","8.7"
"2016","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","354","13.9","14.3"
"2016","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","164","12.0","12.1"
"2016","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","53","5.2","6.1"
"2016","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","115","4.7","4.6"
"2016","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","249","10.5","10.2"
"2016","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","138","8.6","8.1"
"2016","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","51","3.0","2.8"
"2016","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","183","8.0","7.6"
"2016","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","208","12.6","14.0"
"2016","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","211","9.6","9.8"
